books,writer,rating,description,statistics,details,urls,genres,reading,will_read
El pistolero,"['Stephen King', 'Michael Whelan', 'Jordi Mustieles', 'Stephen King']",3.92,"El hombre de negro huía a través del desierto y el pistolero iba en pos de él...
Estas palabras las escribió Stephen King en 1970, cinco años antes de la publicación de su primera novela, y con ellas abrió la puerta a un nuevo mundo que muchos lectores todavía no conocen bien. De esta forma se inicio una fantasía épica en siete tomos, La torre oscura, que ya se ha convertido en un clásico del genero. Stephen King tardó treinta y tres años en terminar el ciclo. Ahora, por primera vez en castellano, ofrecemos la versión revisada de este primer volumen, enriquecido con las ilustraciones de Michael Whelan para una edición limitada que publicó Donald M. Grant en 1982, junto con una nueva introducción y un prólogo del autor.
En un mundo extrañamente parecido al nuestro Ronald Deschain de Gilead persigue a su enemigo, el hombre de negro. Roland, solitario, quizá maldito, anda sin descanso a través de un paisaje triste y abandonado. Conoce a Jake, un chico de Nueva York pero de otro tiempo, y ambos unen sus destinos. Ante ellos están las montañas. Y mucho más allá, la Torre Oscura....","635,640 ratings and 26,527 reviews","['296 pages, Mass Market Paperback', 'First published June 1, 1982']",https://www.goodreads.com/book/show/10389721,,22.5k people are currently reading,351k people want to read
"A Comprehensive Guide to Music Therapy: Theory, Clinical Practice, Research and Training","['Tony Wigram', 'Inge Nygaard Pedersen', 'Lars Ole Bonde', 'Tony Wigram']",4.37,"Music therapists, as in medical and paramedical professions, have a rich diversity of approaches and methods, often developed with specific relevance to meet the needs of a certain client population. This book reflects the many components of such diversity, and is a thoroughly comprehensive guide to accessing and understanding the ideas, theory, research results and clinical outcomes that are the foundations of this field. Providing a detailed insight into the field of music therapy from an international perspective, this book enables the reader to see the complete picture of the multifaceted and fascinating world that is music therapy.",27 ratings and 2 reviews,"['385 pages, Kindle Edition', 'First published January 1, 2001']",https://www.goodreads.com/book/show/17172703,,4 people are currently reading,41 people want to read
Billy Summers,"['Stephen King', 'Carlos Milla Soler', 'Stephen King']",4.19,"Billy Summers es un asesino a sueldo y el mejor en lo suyo, pero tiene una norma: solo acepta un encargo si su objetivo es realmente mala persona.

Ahora Billy quiere dejarlo, pero todavía le queda un último golpe. Y siendo uno de los mejores francotiradores del mundo, un veterano condecorado de la guerra de Irak, un auténtico Houdini cuando toca desaparecer después de finiquitar un trabajo, ¿qué podría salirle mal?

Todo.","173,195 ratings and 18,489 reviews","['648 pages, Paperback', 'First published August 3, 2021']",https://www.goodreads.com/book/show/59738342,"['Fiction', 'Thriller', 'Horror', 'Mystery', 'Crime', 'Audiobook', 'Mystery Thriller', '...more']",14.4k people are currently reading,202k people want to read
Lo que no tiene nombre,"['Piedad Bonnett', 'Piedad Bonnett']",4.61,"¿Hasta dónde puede llegar la literatura?

En este libro dedicado a la vida y la muerte de su hijo Daniel, Piedad Bonnett alcanza con las palabras los lugares más extremos de la existencia.

Lo que han dicho otros autores...

«La naturalidad y la extrañeza conviven en sus páginas igual que en su mirada conviven la sequedad de la inteligencia y el latido más intenso de la emoción. Buscar respuestas es sólo un modo de hacerse preguntas, de negociar con las preguntas, de saber cuántas preguntas caben en una obsesión. Es también una forma de seguir cuidando al hijo más allá de la muerte, de defenderlo contra el frío, comprarle ropa nueva, preguntarle por los estudios y por su arte. Aunque no haya ningún sobre en la habitación, todo suicidio es una carta a los seres que se dejan en la vida. El dolor, el amor, los recuerdos, las imaginaciones, los sentimientos de culpa, la conciencia de haber ayudado y la certeza de la enfermedad se mezclan en nuestros ojos al leer esa carta y nos interpelan sobre nuestra propia realidad. Piedad Bonnett ha vivido el duelo en compañía de la literatura. Toda la lucidez y toda la emoción pudorosa que han caracterizado su poesía y su narrativa se condensan aquí. La gran literatura convierte la historia personal en una experiencia humana colectiva. Por eso este libro habla de la fragilidad de cualquier vida, de cualquier mundo en el que pueden desaparecer los oficios y las artes, de cualquier estado que pretenda engañarnos con su estabilidad. Habla también de la necesidad de seguir viviendo». Luis García Montero

«Preguntas que sólo una madre puede hacerse frente al suicidio de un hijo pero con la potencia y el aserto que sólo una gran escritora puede pretender. Preguntas sin respuesta que construirán, otra vez, una única gran pregunta. Y que el lector deberá animarse a pronunciar. Un testimonio demoledor del hecho más doloroso que una mujer puede imaginar para su vida, escrito con la pluma pesada y pudorosa que sólo puede tener quien se sabe vencida por los demonios pero aún nos mira desde los ojos de sus ángeles. Me da terror y me angustia, sentir, entrada por entrada, que este libro es bello, pero eso es: un libro de una belleza notable, ahogada y triste, muda de música, pero tan real como la vida misma». Pablo Ramos

«El dolor de la madre es aquí, por desgracia y también por milagro, tan infinito como el oficio de la escritora. Su doliente serenidad para nombrar lo innombrable, para narrar la peor de las pérdidas, provoca una admiración que es, a partes iguales, de índole personal y estética. “El pensamiento no se acalla”, leemos. Tampoco la literatura, capaz de llegar allí donde la vida nos silencia. Lúcida ante cada palabra que pronuncia en estas páginas de terrible belleza, ante la delicadeza de su herida, Piedad Bonnet nos incorpora conmovedoramente a su familia». Andrés Neuman","12,678 ratings and 2,361 reviews","['130 pages, Paperback', 'First published March 1, 2013']",https://www.goodreads.com/book/show/17565948,,448 people are currently reading,13.8k people want to read
Entrevistas breves con hombres repulsivos,"['David Foster Wallace', 'Javier Calvo', 'David Foster Wallace']",3.84,"Hay relatos de tamaño convencional y otros que ocupan un sólo párrafo; uno está escrito como un esquema y otro como una entrada de diccionario; hay transcripciones de entrevistas cuyas preguntas jamás leemos, pero imaginamos; hay notas a pie de página que puntúan (y a veces desmienten) lo que dice el texto. Hay hombres que hablan de sus obsesiones sexuales, sus fetiches y sus fantasías, para revelarse como meros depredadores y a la vez tremendamente humanos en sus miedos a las mujeres, a la intimidad, al compromiso y al amor; hay una persona deprimida; hay una esposa obsesionada por complacer sexualmente a su marido; hay un niño de trece años que se tira desde el trampolín de la piscina. En definitiva, una colección de relatos anárquica y exuberante.","30,514 ratings and 2,610 reviews","['408 pages, Paperback', 'First published May 28, 1999']",https://www.goodreads.com/book/show/13404419,"['Fiction', 'Short Stories', 'American', 'Literature', 'Contemporary', 'Literary Fiction', 'Essays', '...more']","2,200 people are currently reading",31.5k people want to read
Batman and the Outsiders (1983-1987) #5,"['Mike W. Barr', 'Jim Aparo', 'Mike W. Barr']",3.23,Enjoy this great comic from DC’s digital archive!,22 ratings and 2 reviews,"['25 pages, Kindle Edition', 'Published October 5, 1983']",https://www.goodreads.com/book/show/24447237,"['Comics', 'Superheroes', 'Comic Book']",1 person is currently reading,9 people want to read
Legend,"['Marie Lu', 'Marie Lu']",4.15,"What was once the western United States is now home to the Republic, a nation perpetually at war with its neighbors. Born into an elite family in one of the Republic's wealthiest districts, fifteen-year-old June is a prodigy being groomed for success in the Republic's highest military circles. Born into the slums, fifteen-year-old Day is the country's most wanted criminal. But his motives may not be as malicious as they seem.

From very different worlds, June and Day have no reason to cross paths—until the day June's brother, Metias, is murdered and Day becomes the prime suspect. Caught in the ultimate game of cat and mouse, Day is in a race for his family's survival, while June seeks to avenge Metias's death. But in a shocking turn of events, the two uncover the truth of what has really brought them together, and the sinister lengths their country will go to keep its secrets.

Alternate Cover edition for ISBN","546,342 ratings and 38,713 reviews","['305 pages, Hardcover', 'First published November 29, 2011']",https://www.goodreads.com/book/show/9275658,"['Dystopia', 'Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Fiction', 'Adventure', '...more']",11.2k people are currently reading,488k people want to read
Even More Short & Shivery: Forty-Five Spine-Tingling Tales,"['Robert D. San Souci', 'Robert D. San Souci']",4.02,"Forty-five hair-raising stories from around the world fill this spooky collection with delicious shivers and spine-tingling chills. Curl up with old friends like Washington Irving's ""The Devil and Tom Walker"" or Charles Dickens's ""Chips."" Or make the acquaintance of ""The Serpent Woman"" and ""The Skull That Spoke""--but beware of spectral visitors like ""The Blood-Drawing Ghost."" There's something here for everyone who likes a good shudder. . . but be prepared for goose bumps!

Delightfully creepy illustrations by Katherine Coville and Jacqueline Rogers highlight this second collection of scary stories.",370 ratings and 31 reviews,"['220 pages, Paperback', 'First published January 1, 1994']",https://www.goodreads.com/book/show/1378574,"['Horror', 'Fiction', 'Childrens', 'Short Stories', 'Young Adult', 'Paranormal', 'Fantasy', '...more']",38 people are currently reading,285 people want to read
Simpatía por el diablo,"['F.G. Haghenbeck', 'F.G. Haghenbeck']",3.74,"En Simpatía por el diablo volvemos a encontrarnos con los personajes y el oscuro universo de El diablo me obligó, ganadora del premio NOCTE a la mejor novela de horror extranjera y novela en la que se basa la aclamada serie de Netflix, Diablero.

Elvis Infante es un «diablero» o, lo que es lo mismo, se gana la vida capturando demonios, ángeles caídos y otros seres fantásticos. En este libro se dirige a bordo de su coche rojo hasta Tijuana, con un especial cargamento: una droga que exime de pecados a todo el que se la inyecta. Esta le convertirá en el blanco de muchos: adoradores del diablo, ángeles caídos e incluso el misterioso grupo religioso El Conclave, que lo reclutó como «diablero» y lo condujo a esta vida de sombras.",69 ratings and 17 reviews,"['336 pages, Paperback', 'Published November 21, 2019']",https://www.goodreads.com/book/show/52791567,,10 people are currently reading,85 people want to read
The Naturals,"['Jennifer Lynn Barnes', 'Jennifer Lynn Barnes']",4.20,"Jennifer Lynn Barnes, #1 bestselling author of  The Inheritance Games , delivers an exhilarating mystery—perfect for fans of Criminal Minds and  A Good Girl’s Guide to Murder

Seventeen-year-old Cassie is a natural at reading people. Piecing together the tiniest details, she can tell you who you are and what you want. But, it's not a skill that she's ever taken seriously. That is, until the FBI come they've begun a classified program that uses exceptional teenagers to crack infamous cold cases, and they need Cassie.

What Cassie doesn't realize is that there's more at risk than a few unsolved homicides—especially when she's sent to live with a group of teens whose gifts are as unusual as her own. Soon, it becomes clear that no one in the Naturals program is what they seem. And when a new killer strikes, danger looms close. Caught in a lethal game of cat and mouse with a killer, the Naturals are going to have to use all of their gifts just to survive.

Jennifer Lynn Barnes's The Naturals is a gripping novel with killer appeal and a to-die-for romance. Don't miss the other books in the Naturals   Killer Instinct ,  All In , and  Bad Blood .","223,229 ratings and 32,476 reviews","['311 pages, Paperback', 'First published November 5, 2013']",https://www.goodreads.com/book/show/62949648,,12.2k people are currently reading,291k people want to read
Killer Instinct,"['Jennifer Lynn Barnes', 'Jennifer Lynn Barnes']",4.26,"Friendship. Romance. Serial killers. The Naturals are on the case.

Seventeen-year-old Cassie Hobbes has a gift for profiling people. Her talent has landed her a spot in an elite FBI program for teens with innate crime-solving abilities, and into some harrowing situations. After barely escaping a confrontation with an unbalanced killer obsessed with her mother's murder, Cassie hopes she and the rest of the team can stick to solving cold cases from a distance.

But when victims of a brutal new serial killer start turning up, the Naturals are pulled into an active case that strikes too close to home: the killer is a perfect copycat of Dean's incarcerated father -- a man he'd do anything to forget. Forced deeper into a murderer's psyche than ever before, will the Naturals be able to outsmart the enigmatic killer's brutal mind games before this copycat twists them into his web for good?","139,093 ratings and 17,104 reviews","['378 pages, Paperback', 'First published November 4, 2014']",https://www.goodreads.com/book/show/62949649,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Romance', 'Crime', 'Fiction', '...more']","7,133 people are currently reading",91.3k people want to read
All In,"['Jennifer Lynn Barnes', 'Jennifer Lynn Barnes']",4.34,"Three casinos. Three bodies. Three days.

After a string of brutal murders in Las Vegas, Cassie Hobbes and the Naturals are called in to investigate. But even with the team's unique profiling talents, these murders seem baffling: unlike many serial killers, this one uses different methods every time. All of the victims were killed in public, yet the killer does not show up on any security feed. And each victim has a string of numbers tattooed on their wrist. Hidden in the numbers is a code -- and the closer the Naturals come to unraveling the mystery, the more perilous the case becomes.

Meanwhile, Cassie is dealing with an equally dangerous and much more painful mystery. For the first time in years, there's been a break in her mother's case. As personal issues and tensions between the team mount, Cassie and the Naturals will be faced with impossible odds -- and impossible choices.

With lives and love on the line, the stakes couldn’t be higher in this fast-paced, thrilling novel from the #1 bestselling author of , perfect for fans of and .","106,945 ratings and 14,288 reviews","['378 pages, Paperback', 'First published November 3, 2015']",https://www.goodreads.com/book/show/62949650,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Romance', 'Crime', 'Contemporary', '...more']","5,098 people are currently reading",84.7k people want to read
Bad Blood,"['Jennifer Lynn Barnes', 'Jennifer Lynn Barnes']",4.36,"All of your burning questions are answered in this shocking conclusion to the Naturals series--now with a bonus Naturals novella, Twelve , in print for the first time! 

When Cassie Hobbes joined the FBI's Naturals program, she had one uncover the truth about her mother's murder. But now, everything Cassie thought she knew about what happened that night has been called into question. Her mother is alive, and the people holding her captive are more powerful -- and dangerous -- than anything the Naturals have faced so far. As Cassie and the team work to uncover the secrets of a group that has been killing in secret for generations, they find themselves racing a ticking clock.
 
When the bodies begin piling up, it soon becomes apparent that this time, the Naturals aren't just hunting serial killers.

They're being hunted.

Don't miss a minute of this fan-favorite series from the #1 bestselling author of The Inheritance Games, perfect for fans of  One of Us is Lying  and  A Good Girl's Guide to Murder .","88,961 ratings and 12,479 reviews","['509 pages, Paperback', 'First published November 1, 2016']",https://www.goodreads.com/book/show/62949651,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Romance', 'Crime', 'Contemporary', '...more']","4,192 people are currently reading",86.9k people want to read
Etéreo,"['Joana Marcús', 'Joana Marcús']",4.52,"Intangible, sutil y sublime.

Caleb es un chico que tiene ciertas habilidades no humanas y trabaja para un prestamista. Una de sus misiones se complica y a causa de eso Caleb ahora tiene que ""observar"" a Victoria, una camarera de un bar. Para él esta misión ha sido la más difícil e importante de su vida.","22,231 ratings and 2,149 reviews","['410 pages, ebook', 'First published July 1, 2020']",https://www.goodreads.com/book/show/54659353,"['Romance', 'Fantasy', 'Young Adult', 'Romantasy', 'Fiction', 'Mystery', 'Urban Fantasy', '...more']","1,786 people are currently reading",18k people want to read
"Breaking Through The Darkness: How to defeat depression, anxiety or stress - a spiritual perspective","['John McConnel', 'John McConnel']",4.00,"This book of hope is for anyone who feels anxious, stressed, unhappy or depressed and is looking for new ways of thinking and being. It offers a powerful antidote to negative states of mind for those who are open to exploring their inner world. By following the simple four-step process outlined in this book, you can journey within * Restore your inner peace * Change depression, anxiety or stress from a curse into a blessing * Discover how to live a life of self-acceptance, happiness and love * Create a brighter future! Start the journey now!",2 ratings and 1 review,"['146 pages, Kindle Edition', 'Published April 9, 2020']",https://www.goodreads.com/book/show/53676314,,2 people are currently reading,5 people want to read
Malibú renace,"['Taylor Jenkins Reid', 'Marta de Bru de Sala i Martí', 'Taylor Jenkins Reid']",4.03,"Malibú: agosto de 1983

Como cada año, ha llegado el día de la fiesta de final de verano organizada por Nina Riva, y la expectación es máxima. Todo el mundo quiere estar cerca de los famosos hermanos Riva: Nina, la talentosa surfista y supermodelo; Jay y Hud, un campeón del surf y un conocido fotógrafo respectivamente; y la adorada Kit, la más joven de la familia. Los cuatro hermanos despiertan auténtica fascinación tanto en Malibú como en el resto del mundo, especialmente por ser los descendientes del legendario cantante Mick Riva.

La única persona que no está ansiosa por que llegue la fiesta es la propia Nina, que nunca quiso ser el centro de atención y que acaba de ser públicamente abandonada por su marido, un jugador de tenis profesional. Y quizás tampoco Hud, porque hace demasiado tiempo que debería haberle confesado algo a su inseparable hermano.

Jay, en cambio, está impaciente por que llegue la noche para ver a la chica de sus sueños que le prometió asistir. Kit, por su parte, también guarda algunos secretos, incluida cierta persona a quien ha invitado sin consultar a nadie.
A medianoche, la fiesta estará completamente fuera de control. Por la mañana, la mansión Riva se habrá consumido en llamas. Pero antes de que prenda la primera chispa, el alcohol correrá, la música sonará, y todos los amores y secretos que han forjado a generaciones de esta familia saldrán a la luz.

Esta es la historia de una noche inolvidable en la vida de una familia: la noche en que cada uno de ellos deberá decidir qué guardan para sí mismos… y qué dejan atrás.","1,154,265 ratings and 106,532 reviews","['379 pages, Paperback', 'First published May 27, 2021']",https://www.goodreads.com/book/show/57739553,"['Fiction', 'Historical Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Adult', 'Historical', '...more']",41.6k people are currently reading,950k people want to read
Tardes de otoño,"['Joana Marcús', 'Joana Marcús']",4.50,"¿Qué es lo peor que podía pasarle a la pobre Mara después de reencontrarse con el que fue el amor de su infancia ocho años después de la última vez que lo vio?

Ah, sí. Que siguiera sintiendo cosas por él... y se negara a asumirlo por ser una testaruda.

Suerte que Aiden era todavía más testarudo que ella.","31,930 ratings and 3,088 reviews","['ebook', 'First published July 1, 2020']",https://www.goodreads.com/book/show/54659381,"['Romance', 'Young Adult', 'Drama', 'Romantic', 'Esp', 'Fiction', 'New Adult']","1,251 people are currently reading",16.7k people want to read
Escuela de esgrima. Volumen 1,"['C.S. Pacat', 'C.S. Pacat']",3.92,"Nicholas Cox está decidido a demostrar su valía en el mundo de la esgrima de competición y ganarse un lugar junto a leyendas de ese deporte, como el padre al que nunca ha llegado a conocer. Por ello sueña con recibir la formación necesaria para competir. Tras ser aceptado en la conocida escuela privada Kings Row, Nicholas es empujado a un mundo sin piedad.

A través de enfrentamientos, rivalidades y romances entre compañeros de equipo, Nicholas y los chicos de Kings Row descubrirán que la esgrima va mucho más allá de floretes y estocadas.

De la aclamada autora C. S. Pacat (El príncipe cautivo) y la popular artista Johanna the Mad. Escuela de esgrima es una serie que te atrapará desde la primera página.","28,953 ratings and 4,394 reviews","['112 pages, Paperback', 'First published January 1, 2017']",https://www.goodreads.com/book/show/57739578,"['Graphic Novels', 'LGBT', 'Comics', 'Young Adult', 'Contemporary', 'Sports', 'Queer', '...more']",198 people are currently reading,25.9k people want to read
Morir no es lo que más duele,"['Inés Plana', 'Inés Plana']",3.41,"Un hombre aparece ahorcado en un pinar a las afueras de Madrid, con los ojos arrancados de cuajo. En uno de sus bolsillos se halla un papel con el nombre y la dirección de una mujer: Sara Azcárraga, que vive a pocos kilómetros del escenario del crimen. Frágil, solitaria, bebedora de vodka en soledad, Sara rehúye cualquier contacto con las personas y trabaja desde casa. El teniente de la Guardia Civil Julián Tresser se hace cargo del caso, asistido por el joven cabo Coira, que se enfrenta por vez primera a una investigación criminal, una investigación difícil, sin apenas pistas, con demasiados enigmas. A medida que el teniente Tresser avance en sus indagaciones, descubrirá unos hechos que darán un trágico vuelco a su existencia y le conducirán a un viaje a los infiernos que marcará su vida para siempre.

Extraordinaria novela con una trama hipnótica encajada como un puzle y unos personajes con alma que se debaten entre el bien y el mal.","1,218 ratings and 159 reviews","['448 pages, Hardcover', 'First published January 9, 2018']",https://www.goodreads.com/book/show/37849402,['Thriller'],9 people are currently reading,287 people want to read
Piranesi,"['Susanna Clarke', 'Susanna Clarke']",4.22,"Piranesi’s house is no ordinary building: its rooms are infinite, its corridors endless, its walls are lined with thousands upon thousands of statues, each one different from all the others. Within the labyrinth of halls an ocean is imprisoned; waves thunder up staircases, rooms are flooded in an instant. But Piranesi is not afraid; he understands the tides as he understands the pattern of the labyrinth itself. He lives to explore the house.

There is one other person in the house—a man called The Other, who visits Piranesi twice a week and asks for help with research into A Great and Secret Knowledge. But as Piranesi explores, evidence emerges of another person, and a terrible truth begins to unravel, revealing a world beyond the one Piranesi has always known.","348,689 ratings and 54,497 reviews","['272 pages, Hardcover', 'First published September 15, 2020']",https://www.goodreads.com/book/show/50202953,"['Fantasy', 'Fiction', 'Mystery', 'Magical Realism', 'Mythology', 'Adult', 'Literary Fiction', '...more']",17.3k people are currently reading,493k people want to read
Para que estés más cómoda,"['Virginia Feinmann', 'Virginia Feinmann']",4.38,"Sumergite en la intriga y la sutileza de los relatos de Virginia Feinmann, donde la calma aparente se ve amenazada por malos presagios y emociones ocultas.

Para que estés más cómoda es una antología de relatos con una atmósfera comú la de la calma antes de la tormenta. Situaciones familiares y cotidianas –como ir a un control médico o acompañar la convalecencia de una madre– se cargan de malos presagios a través de un cuidadoso trabajo con la sugerencia, lo que no se dice pero se deja ver. En trece cuentos de impecable factura, la autora presenta a seres en pleno despertar sexual, en un momento de inocencia y confusión, que muchas veces es malversado por el entorno. En otras ocasiones eso no ocurre. Como sea, sus protagonistas no tienen las palabras suficientes para contarlo, y queda en manos de quien lee develar no, el alcance de lo siniestro.",8 ratings and 2 reviews,"['142 pages, Kindle Edition', 'Published April 1, 2024']",https://www.goodreads.com/book/show/211224905,,9 people want to read,
Heir of Fire,"['Sarah J. Maas', 'Sarah J. Maas']",4.46,"Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?","1,204,340 ratings and 90,015 reviews","['565 pages, Hardcover', 'First published September 2, 2014']",https://www.goodreads.com/book/show/20613470,"['Young Adult', 'Romance', 'Fantasy', 'Fiction', 'Magic', 'Fae', 'Romantasy', '...more']","5,180 people are currently reading",33.8k people want to read
La historia del loco,"['John Katzenbach', 'Julia Quinn', 'John Katzenbach']",4.01,"Han pasado veinte años desde que el Western State Hospital cerró sus puertas y sus últimos pacientes se reintegraron a la sociedad. Francis Petrel tenía poco más de veinte años cuando su familia lo recluyó en el psiquiátrico tras una conducta imprevisible y la crisis posterior. Ahora, alcanzada la mediana edad, lleva una vida sin rumbo y solitaria, alejado en un piso barato y permanentemente medicado para acallar el coro de voces en su cabeza","13,734 ratings and 1,105 reviews","['544 pages, Paperback', 'First published January 1, 2004']",https://www.goodreads.com/book/show/67938,"['Thriller', 'Mystery', 'Fiction', 'Suspense', 'Crime', 'Horror', 'Mystery Thriller', '...more']","1,075 people are currently reading","7,514 people want to read"
Bilbo's Last Song,"['J.R.R. Tolkien', 'Pauline Baynes', 'J.R.R. Tolkien']",4.19,"Bilbo’s Last Song is considered by many to be Tolkien’s epilogue to his classic work The Lord of the Rings. As Bilbo Baggins takes his final voyage to the Undying Lands, he must say goodbye to Middle-earth. Poignant and lyrical, the song is both a longing to set forth on his ultimate journey and a tender farewell to friends left behind.

Pauline Baynes’s jewel-like illustrations lushly depict both this final voyage and scenes from The Hobbit, as Bilbo remembers his first journey while he prepares for his last.","5,639 ratings and 631 reviews","['32 pages, Hardcover', 'First published January 1, 1974']",https://www.goodreads.com/book/show/67939,"['Fantasy', 'Poetry', 'Fiction', 'Classics', 'Picture Books', 'Short Stories', 'High Fantasy', '...more']",202 people are currently reading,10.2k people want to read
NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,"['Steve Silberman', 'Oliver Sacks', 'Steve Silberman']",4.29,"Going back to the earliest days of autism research and chronicling the brave and lonely journey of autistic people and their families through the decades, Silberman provides long-sought solutions to the autism puzzle, while mapping out a path for our society toward a more humane world in which people with learning differences and those who love them have access to the resources they need to live happier, healthier, more secure, and more meaningful lives.
 
Along the way, he reveals the untold story of Hans Asperger, the father of Asperger’s syndrome, whose “little professors” were targeted by the darkest social-engineering experiment in human history; exposes the covert campaign by child psychiatrist Leo Kanner to suppress knowledge of the autism spectrum for fifty years; and casts light on the growing movement of ""neurodiversity"" activists seeking respect, support, technological innovation, accommodations in the workplace and in education, and the right to self-determination for those with cognitive differences.","16,434 ratings and 2,184 reviews","['477 pages, Hardcover', 'First published August 1, 2015']",https://www.goodreads.com/book/show/22514020,"['Nonfiction', 'Psychology', 'Autistic Spectrum Disorder', 'Science', 'History', 'Audiobook', 'Disability', '...more']","4,597 people are currently reading",39.3k people want to read
El color púrpura,"['Alice Walker', 'Ana María de la Fuente', 'Alice Walker']",4.27,"El color púrpura cuenta, a lo largo de distintas décadas, la intensa vida de Celie, una mujer de la América rural del Sur. Forzada a casarse con un hombre brutal. Celie se retrae y comparte su desgracia sólo con Dios. Celie sufrirá una transformación gracias a la amistad que comparte con dos extraordinarias mujeres, adquiriendo la autoestima y la fuerza que necesita para perdonar.","718,138 ratings and 28,468 reviews","['222 pages, Hardcover', 'First published June 1, 1982']",https://www.goodreads.com/book/show/5998952,"['Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'Queer', 'African American', '...more']",20.7k people are currently reading,742k people want to read
Linger,"['Maggie Stiefvater', 'Maggie Stiefvater']",3.88,"the longing.
Once Grace and Sam have found each other, they know they must fight to stay together. For Sam, this means a reckoning with his werewolf past. For Grace, it means facing a future that is less and less certain.

the loss.
Into their world comes a new wolf named Cole, whose past is full of hurt and danger. He is wrestling with his own demons, embracing the life of a wolf while denying the ties of being a human.


For Grace, Sam, and Cole, life is a constant struggle between two forces - wolf and human - with love baring its two sides as well. It is harrowing and euphoric, freeing and entrapping, enticing and alarming. As their world falls apart, love is what lingers. But will it be enough?","172,758 ratings and 10,230 reviews","['362 pages, Hardcover', 'First published July 13, 2010']",https://www.goodreads.com/book/show/6654313,,"2,787 people are currently reading",73.2k people want to read
The Deal,"['Elle Kennedy', 'Elle Kennedy']",4.22,"She's about to make a deal with the college bad boy... Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, she'll have to step out of her comfort zone and make him take notice...even if it means tutoring the annoying, childish, cocky captain of the hockey team in exchange for a pretend date. ...and it's going to be oh so good All Garrett Graham has ever wanted is to play professional hockey after graduation, but his plummeting GPA is threatening everything he's worked so hard for. If helping a sarcastic brunette make another guy jealous will help him secure his position on the team, he's all for it. But when one unexpected kiss leads to the wildest sex of both their lives, it doesn't take long for Garrett to realize that pretend isn't going to cut it. Now he just has to convince Hannah that the man she wants looks a lot like him.","863,005 ratings and 64,621 reviews","['360 pages, Paperback', 'First published February 24, 2015']",https://www.goodreads.com/book/show/45484397,"['Romance', 'Sports Romance', 'New Adult', 'Sports', 'Contemporary', 'College', 'Contemporary Romance', '...more']",31k people are currently reading,535k people want to read
Te encuentro en el tiempo,"['Rose Merino', 'Rose Merino']",4.39,"UN REENCUENTRO,UN AMOR A FUEGO LENTO,Y UNA DECISIÓN.

Lady Camille Donegall es una joven perspicaz, encantadora y una excelente conversadora, pero solo con las personas adecuadas. Tras años enamorada del hermano de su mejor amiga, ha decidido que ya es hora de casarse y cumplir su sueño de formar una familia, incluso si no es con el hombre que siempre anheló.

Theodore, vizconde de Kirtklard, es un hombre honorable, encantador y, desde su vuelta a Londres, un partido muy codiciado en la alta sociedad. A pesar de los incesantes intentos de su madre por encontrarle una esposa, ha decidido que no quiere casarse aún. Pero cuando se reencuentre con lady Camille, la introvertida y alegre amiga de su hermana Emma, sentirá, como nunca antes, la imperiosa necesidad de descubrir todas sus facetas.

Envueltos entre encuentros fortuitos, profundas conversaciones y una creciente fascinación, ambos se verán obligados a tomar decisiones que los conducirán por caminos que parecen separarlos.

¿SERÁN AMBOS CAPACES DE ENCONTRARSE EN EL TIEMPO?",76 ratings and 39 reviews,"['499 pages, Kindle Edition', 'Published April 18, 2024']",https://www.goodreads.com/book/show/210405744,['Romance'],10 people are currently reading,89 people want to read
